Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
58   	23.85%	26.23%	25.73%	24.19%	 0.00%	23.85%	26.23%	25.73%	24.19%	 0.00%
59   	23.85%	26.17%	25.73%	24.26%	 0.00%	23.85%	26.17%	25.73%	24.26%	 0.00%
60   	23.77%	26.31%	25.70%	24.21%	 0.00%	23.77%	26.31%	25.70%	24.21%	 0.00%
61   	23.83%	26.26%	25.74%	24.17%	 0.00%	23.83%	26.26%	25.74%	24.17%	 0.00%
62   	23.84%	26.19%	25.72%	24.24%	 0.00%	23.84%	26.19%	25.72%	24.24%	 0.00%
63   	23.79%	26.29%	25.72%	24.20%	 0.00%	23.79%	26.29%	25.72%	24.20%	 0.00%
64   	23.85%	26.23%	25.76%	24.16%	 0.00%	23.85%	26.23%	25.76%	24.16%	 0.00%
65   	23.87%	26.15%	25.76%	24.22%	 0.00%	23.87%	26.15%	25.76%	24.22%	 0.00%
66   	23.79%	26.28%	25.74%	24.19%	 0.00%	23.79%	26.28%	25.74%	24.19%	 0.00%
67   	23.80%	26.26%	25.81%	24.14%	 0.00%	23.80%	26.26%	25.81%	24.14%	 0.00%
68   	23.86%	26.19%	25.75%	24.20%	 0.00%	23.86%	26.19%	25.75%	24.20%	 0.00%
69   	23.76%	26.31%	25.78%	24.15%	 0.00%	23.76%	26.31%	25.78%	24.15%	 0.00%
70   	23.81%	26.25%	25.84%	24.11%	 0.00%	23.81%	26.25%	25.84%	24.11%	 0.00%
71   	23.86%	26.18%	25.81%	24.15%	 0.00%	23.86%	26.18%	25.81%	24.15%	 0.00%
72   	23.77%	26.30%	25.80%	24.13%	 0.00%	23.77%	26.30%	25.80%	24.13%	 0.00%
73   	23.83%	26.24%	25.84%	24.09%	 0.00%	23.83%	26.24%	25.84%	24.09%	 0.00%
74   	23.88%	26.15%	25.83%	24.13%	 0.00%	23.88%	26.15%	25.83%	24.13%	 0.00%
75   	23.78%	26.28%	25.83%	24.11%	 0.00%	23.78%	26.28%	25.83%	24.11%	 0.00%
